Node	CRUD	DataFlowValue
$r34 = new java.io.File	C	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r16, $r17, r7, $z1, $z2, $r27, $r28, $r29, $r30, $r31, $r32, r33]
$r57 = newarray (java.lang.Object)[1]	C	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r51, r52, $r53, $r54, $r55, $r56]
$r50 = virtualinvoke r3.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("managerServlet.undeployed", $r49)	U	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r16, $r17, r7, $z1, $z2, $r49]
return	R	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6]
staticinvoke <org.apache.tomcat.util.ExceptionUtils: void handleThrowable(java.lang.Throwable)>(r8)	R	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r16, $r17, r7, $z1, $z2, $r26, r8]
staticinvoke <org.apache.tomcat.util.ExceptionUtils: void handleThrowable(java.lang.Throwable)>(r52)	R	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r51, r52]
$r53 = new java.lang.StringBuilder	C	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r51, r52]
$r18 = newarray (java.lang.Object)[1]	C	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r16, $r17, r7]
$r42 = newarray (java.lang.Object)[1]	C	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r16, $r17, r7, $z1, $z2, $r27, $r28, $r29, $r30, $r31, $r32, r33, $r34, $r35, r9, $r36, $r37, $r38, $r39, $r40, $r41, r10, $z3, $z4]
$z1 = virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: boolean isDeployed(java.lang.String)>(r4)	U	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r16, $r17, r7]
$r26 := @caughtexception	R	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r16, $r17, r7, $z1, $z2]
goto [?= $r49 = newarray (java.lang.Object)[1]]	R	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r16, $r17, r7, $z1, $z2, $r24, $r25]
$r19 = staticinvoke <org.apache.catalina.util.RequestUtil: java.lang.String filter(java.lang.String)>(r6)	U	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r16, $r17, r7, $r18]
virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void log(java.lang.String)>($r15)	R	[r0, r1, r2, r3, $i0, $r12, $r13, $r14, $r15]
$i0 = r0.<org.apache.catalina.manager.ManagerServlet: int debug>	U	[r0, r1, r2, r3]
goto [?= $r27 = new java.io.File]	R	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r16, $r17, r7, $z1, $z2]
$r18[0] = $r19	U	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r16, $r17, r7, $r18, $r19]
$z5 = virtualinvoke r9.<java.io.File: boolean exists()>()	U	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r16, $r17, r7, $z1, $z2, $r27, $r28, $r29, $r30, $r31, $r32, r33, $r34, $r35, r9, $r36, $r37, $r38, $r39, $r40, $r41, r10, $z3]
$r27 = new java.io.File	C	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r16, $r17, r7, $z1, $z2]
r33 = $r27	U	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r16, $r17, r7, $z1, $z2, $r27, $r28, $r29, $r30, $r31, $r32]
virtualinvoke r1.<java.io.PrintWriter: void println(java.lang.String)>($r59)	R	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r51, r52, $r53, $r54, $r55, $r56, $r57, $r58, $r59]
$r44 = newarray (java.lang.Object)[1]	C	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r16, $r17, r7, $z1, $z2, $r27, $r28, $r29, $r30, $r31, $r32, r33, $r34, $r35, r9, $r36, $r37, $r38, $r39, $r40, $r41, r10, $z3, $z5, $z6]
$r29 = new java.lang.StringBuilder	C	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r16, $r17, r7, $z1, $z2, $r27, $r28]
specialinvoke $r12.<java.lang.StringBuilder: void <init>(java.lang.String)>("undeploy: Undeploying web application at \'")	R	[r0, r1, r2, r3, $i0, $r12]
virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void log(java.lang.String,java.lang.Throwable)>($r56, r52)	R	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r51, r52, $r53, $r54, $r55, $r56]
specialinvoke $r38.<java.lang.StringBuilder: void <init>(java.lang.String)>($r39)	R	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r16, $r17, r7, $z1, $z2, $r27, $r28, $r29, $r30, $r31, $r32, r33, $r34, $r35, r9, $r36, $r37, $r38, $r39]
$r24[0] = r6	U	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r16, $r17, r7, $z1, $z2, $r24]
$r36 = new java.io.File	C	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r16, $r17, r7, $z1, $z2, $r27, $r28, $r29, $r30, $r31, $r32, r33, $r34, $r35, r9]
$z8 = virtualinvoke r10.<java.io.File: boolean delete()>()	U	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r16, $r17, r7, $z1, $z2, $r27, $r28, $r29, $r30, $r31, $r32, r33, $r34, $r35, r9, $r36, $r37, $r38, $r39, $r40, $r41, r10, $z3, $z5, $z7]
specialinvoke $r36.<java.io.File: void <init>(java.io.File,java.lang.String)>($r37, $r41)	R	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r16, $r17, r7, $z1, $z2, $r27, $r28, $r29, $r30, $r31, $r32, r33, $r34, $r35, r9, $r36, $r37, $r38, $r39, $r40, $r41]
$r24 = newarray (java.lang.Object)[1]	C	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r16, $r17, r7, $z1, $z2]
r7 = (org.apache.catalina.Context) $r17	U	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r16, $r17]
$r38 = new java.lang.StringBuilder	C	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r16, $r17, r7, $z1, $z2, $r27, $r28, $r29, $r30, $r31, $r32, r33, $r34, $r35, r9, $r36, $r37]
if $z0 != 0 goto r4 = virtualinvoke r2.<org.apache.catalina.util.ContextName: java.lang.String getName()>()	R	[r0, r1, r2, r3, $i0, $z0]
$r54 = virtualinvoke $r53.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(r6)	U	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r51, r52, $r53]
$r46[0] = r10	U	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r16, $r17, r7, $z1, $z2, $r27, $r28, $r29, $r30, $r31, $r32, r33, $r34, $r35, r9, $r36, $r37, $r38, $r39, $r40, $r41, r10, $z3, $z5, $z7, $z8, $r46]
$r43 = virtualinvoke r3.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("managerServlet.deleteFail", $r42)	U	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r16, $r17, r7, $z1, $z2, $r27, $r28, $r29, $r30, $r31, $r32, r33, $r34, $r35, r9, $r36, $r37, $r38, $r39, $r40, $r41, r10, $z3, $z4, $r42]
if $z6 != 0 goto $z7 = virtualinvoke r10.<java.io.File: boolean exists()>()	R	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r16, $r17, r7, $z1, $z2, $r27, $r28, $r29, $r30, $r31, $r32, r33, $r34, $r35, r9, $r36, $r37, $r38, $r39, $r40, $r41, r10, $z3, $z5, $z6]
if $z3 == 0 goto $z5 = virtualinvoke r9.<java.io.File: boolean exists()>()	R	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r16, $r17, r7, $z1, $z2, $r27, $r28, $r29, $r30, $r31, $r32, r33, $r34, $r35, r9, $r36, $r37, $r38, $r39, $r40, $r41, r10, $z3]
$r56 = virtualinvoke $r55.<java.lang.StringBuilder: java.lang.String toString()>()	U	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r51, r52, $r53, $r54, $r55]
$r55 = virtualinvoke $r54.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("]")	U	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r51, r52, $r53, $r54]
