start	end	CRUD_Test
$r61 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.lang.String getContextPath()>()	$r62 = staticinvoke <java.lang.String: java.lang.String valueOf(java.lang.Object)>($r61)	1
$r62 = staticinvoke <java.lang.String: java.lang.String valueOf(java.lang.Object)>($r61)	specialinvoke $r60.<java.lang.StringBuilder: void <init>(java.lang.String)>($r62)	1
specialinvoke $r60.<java.lang.StringBuilder: void <init>(java.lang.String)>($r62)	$r63 = virtualinvoke $r60.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("/status/all")	0
$r63 = virtualinvoke $r60.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("/status/all")	$r64 = virtualinvoke $r63.<java.lang.StringBuilder: java.lang.String toString()>()	1
$r64 = virtualinvoke $r63.<java.lang.StringBuilder: java.lang.String toString()>()	$r65 = interfaceinvoke r2.<javax.servlet.http.HttpServletResponse: java.lang.String encodeURL(java.lang.String)>($r64)	1
$r65 = interfaceinvoke r2.<javax.servlet.http.HttpServletResponse: java.lang.String encodeURL(java.lang.String)>($r64)	r19[7] = $r65	1
r19[7] = $r65	$r66 = <org.apache.catalina.manager.StatusManagerServlet: org.apache.tomcat.util.res.StringManager sm>	1
$r66 = <org.apache.catalina.manager.StatusManagerServlet: org.apache.tomcat.util.res.StringManager sm>	$r67 = virtualinvoke $r66.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String)>("statusServlet.complete")	1
$r67 = virtualinvoke $r66.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String)>("statusServlet.complete")	r19[8] = $r67	1
r19[8] = $r67	staticinvoke <org.apache.catalina.manager.StatusTransformer: void writeManager(java.io.PrintWriter,java.lang.Object[],int)>(r3, r19, b0)	1
staticinvoke <org.apache.catalina.manager.StatusTransformer: void writeManager(java.io.PrintWriter,java.lang.Object[],int)>(r3, r19, b0)	r68 = newarray (java.lang.Object)[9]	0
r68 = newarray (java.lang.Object)[9]	$r69 = <org.apache.catalina.manager.StatusManagerServlet: org.apache.tomcat.util.res.StringManager sm>	1
$r69 = <org.apache.catalina.manager.StatusManagerServlet: org.apache.tomcat.util.res.StringManager sm>	$r70 = virtualinvoke $r69.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String)>("htmlManagerServlet.serverTitle")	1
$r70 = virtualinvoke $r69.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String)>("htmlManagerServlet.serverTitle")	r68[0] = $r70	1
r68[0] = $r70	$r71 = <org.apache.catalina.manager.StatusManagerServlet: org.apache.tomcat.util.res.StringManager sm>	1
$r71 = <org.apache.catalina.manager.StatusManagerServlet: org.apache.tomcat.util.res.StringManager sm>	$r72 = virtualinvoke $r71.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String)>("htmlManagerServlet.serverVersion")	1
$r72 = virtualinvoke $r71.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String)>("htmlManagerServlet.serverVersion")	r68[1] = $r72	1
r68[1] = $r72	$r73 = <org.apache.catalina.manager.StatusManagerServlet: org.apache.tomcat.util.res.StringManager sm>	1
$r73 = <org.apache.catalina.manager.StatusManagerServlet: org.apache.tomcat.util.res.StringManager sm>	$r74 = virtualinvoke $r73.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String)>("htmlManagerServlet.serverJVMVersion")	1
