,target_c,targetFQCN_c,teaching_c,step_c,ccna_c,idau_c,edge_dencity_c,graph_degree_c,eccentricity_centrality_c,centralization_c,page_rank_c,bonpow_c,betweenness_c
86,org.apache.tomcat.util.DomUtil_getAttribute,org.apache.tomcat.util.DomUtil,1,9,4,0.333333333,0.125,0.5,3.49E-05,68746.44841,0.080065008,0.318071792,34.75
87,org.apache.tomcat.util.DomUtil_getChildContent,org.apache.tomcat.util.DomUtil,1,15,7,0.4,0.082417582,0.593406593,1.18E-05,30203.91667,0.058188876,0.224488933,282.8626374
88,org.apache.tomcat.util.DomUtil_getContent,org.apache.tomcat.util.DomUtil,1,8,4,0.375,0.142857143,0.571428571,3.87E-05,71185.61538,0.086530436,0.359070346,16.83928571
89,org.apache.tomcat.util.DomUtil_readXml,org.apache.tomcat.util.DomUtil,1,11,0,0.363636364,0.083333333,0.151515152,7.11E-06,62335.86452,0.065588469,0.094322673,121.3333333
90,org.apache.tomcat.util.DomUtil_removeAttribute,org.apache.tomcat.util.DomUtil,1,4,0,0.25,0.2,0.3,0.00041434,79659.89674,0.112734609,0.257365354,3.5
91,org.apache.tomcat.util.DomUtil_setAttribute,org.apache.tomcat.util.DomUtil,1,8,0,0.375,0.111111111,0.194444444,2.55E-05,68746.44841,0.080852189,0.129488955,38.5
92,org.apache.tomcat.util.DomUtil_setAttributes,org.apache.tomcat.util.DomUtil,1,37,9,0.486486486,0.037298387,0.47983871,1.17E-06,19645.10416,0.028643809,0.163796431,18966.73286
93,org.apache.tomcat.util.DomUtil_setText,org.apache.tomcat.util.DomUtil,1,9,2,0.333333333,0.125,0.25,9.94E-05,68746.44841,0.081607997,0.216935892,26.75
94,org.apache.tomcat.util.DomUtil_writeXml,org.apache.tomcat.util.DomUtil,1,10,0,0.4,0.090909091,0.163636364,1.04E-05,64336.02414,0.070038067,0.103711791,85.8
95,org.apache.tomcat.util.http.mapper.Mapper_addHost,org.apache.tomcat.util.http.mapper.Mapper,1,74,15,0.554054054,0.016022827,0.187006146,3.22E-08,11639.28451,0.01411788,0.078734001,44330.46598
96,org.apache.tomcat.util.http.mapper.Mapper_addHostAlias,org.apache.tomcat.util.http.mapper.Mapper,1,15,4,0.4,0.082417582,0.285714286,1.79E-05,58685.96591,0.058310394,0.137183759,224.5549451
97,org.apache.tomcat.util.http.mapper.Mapper_addWelcomeFile,org.apache.tomcat.util.http.mapper.Mapper,1,18,2,0.5,0.058823529,0.117647059,3.87E-06,52531.85586,0.047371692,0.093977391,541.2026144
98,org.apache.tomcat.util.http.mapper.Mapper_clearWelcomeFiles,org.apache.tomcat.util.http.mapper.Mapper,1,9,2,0.333333333,0.125,0.25,6.91E-05,68746.44841,0.080998552,0.186275835,45
99,org.apache.tomcat.util.http.mapper.Mapper_pauseContextVersion,org.apache.tomcat.util.http.mapper.Mapper,1,13,4,0.230769231,0.098484848,0.333333333,3.05E-05,62335.86452,0.065833356,0.15665904,132.5681818
100,org.apache.tomcat.util.http.mapper.Mapper_removeHost,org.apache.tomcat.util.http.mapper.Mapper,1,31,9,0.64516129,0.041005291,0.248677249,1.43E-06,21273.53253,0.032384261,0.109949412,4369.312169
101,org.apache.tomcat.util.http.mapper.Mapper_removeWelcomeFile,org.apache.tomcat.util.http.mapper.Mapper,1,41,14,0.463414634,0.032539683,0.377777778,1.07E-06,18298.12826,0.025711899,0.107535861,9162.180159
102,org.apache.tomcat.util.http.mapper.Mapper_setContext,org.apache.tomcat.util.http.mapper.Mapper,1,10,0,0.6,0.090909091,0.163636364,1.04E-05,64336.02414,0.070038067,0.103711791,85.8
103,org.apache.tomcat.util.http.parser.HttpParser_isAbsolutePath,org.apache.tomcat.util.http.parser.HttpParser,1,3,0,0.666666667,0.25,0.333333333,0.001326688,82949.11067,0.121491107,0.341646554,1.333333333
104,org.apache.tomcat.util.http.parser.HttpParser_isAbsolutePathRelaxed,org.apache.tomcat.util.http.parser.HttpParser,1,9,0,0.555555556,0.160714286,1.357142857,7.41E-05,71185.61538,0.088226177,0.386728909,9.357142857
105,org.apache.tomcat.util.http.parser.HttpParser_isAlpha,org.apache.tomcat.util.http.parser.HttpParser,1,8,0,0.625,0.19047619,1.238095238,0.000109725,73803.52154,0.095821577,0.436535359,5.333333333
